Downloaded from FDA Regulatory Status of Color Additives; http://hfpappexternal.fda.gov/scripts/fdcc/?set=ColorAdditives; Last updated 2/14/2025; downloaded 4/11/2025.

"See End Note descriptions at https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=ColorAdditives."

CAS Reg No or other ID code,Color,See also,EEC No,Status,Use,Former use,RESTRICTIONS,End Notes Detail,END NOTES,Other names,RegnumCA1,RegnumCA2,RegnumCA3,RegnumCA4,RegnumCA5,RegnumCA6,RegnumO1,RegnumO2,RegnumO3,RegnumO4,RegnumO5,RegnumO6,RegnumO7,RegnumO8,RegnumO9,RegnumO10,RegnumO11,RegnumO12,RegnumO13,Citation 1a,Date FR 1a inc estimates,Text2 Date Actual FR 1a,Action 1a,Citation 1b,Date FR 1b,Action 1b,Citation 1c,Date FR 1c,Action 1c,Citation 1d,Date FR 1d,Action 1d,Citation 1e,Date FR 1e,Action 1e,Limitations 1,Citation 2a,Date FR 2a,Action 2a,Citation 2b,Date FR 2b,Action 2b,Citation 2c,Date FR 2c,Action 2c,Citation 2d,Date FR 2d,Action 2d,Citation 2e,Date FR 2e,Action 2e,Limitations 2,Citation 3a,Date FR 3a,Action 3a,Citation 3b,Date FR 3b,Action 3b,Citation 3c,Date FR 3c,Action 3c,Citation 3d,Date FR 3d,Action 3d,Limitations 3,Citation 4a,Date FR 4a,Action 4a,Citation 4b,Date FR 4b,Action 4b,Citation 4c,Date FR 4c,Action 4c,Citation 4d,Date FR 4d,Action 4d,Citation 4e,Date FR 4e,Action 4e,Citation 4f,Date FR 4f,Action 4f,Limitations 4,Citation 5a,Date FR 5a,Action 5a,Citation 5b,Date FR 5b,Action 5b,Citation 5c,Date FR 5c,Action 5c,Citation 5d,Date FR 5d,Action 5d,Citation 5e,Date FR 5e,Action 5e,Citation 5f,Date FR 5f,Action 5f,Limitations 5,Citation 6a,Date FR 6a,Action 6a,Citation 6b,Date FR 6b,Action 6b,Citation 6c,Date FR 6c,Action 6c,Citation 6d,Date FR 6d,Action 6d,Citation 6e,Date FR 6e,Action 6e,Limitations 6,Citation 7a,Date FR 7a,Action 7a,Citation 7b,Date FR 7b,Action 7b,Citation 7c,Date FR 7c,Action 7c,Citation 7d,Date FR 7d,Action 7d,Limitations 7,Citation 8a,Date FR 8a,Action 8a,Citation 8b,Date FR 8b,Action 8b,Citation 8c,Date FR 8c,Action 8c,Citation 8d,Date FR 8d,Action 8d,Limitations 8,Citation 9a,Date FR 9a,Action 9a,Citation 9b,Date FR 9b,Action 9b,Citation 9c,Date FR 9c,Action 9C,Limitations 9,Citation 10a,Date FR 10a,Action 10a,Citation 10b,Date FR 10b,Action 10b,Citation 10c,Date FR 10c,Action 10c,Limitations 10,Citation 11a,Date FR 11a,Action 11a,Citation 11b,Date FR 11b,Action 11b,Citation 11c,Date FR 11c,Action 11c,Limitations 11,Citation 12a,Date FR 12a,Action 12a,Citation 12b,Date FR 12b,Action 12b,Action 12c,Date FR 12c,Citation 12c,Limitations 12,Citation 13a,Date FR 13a,Action 13a,Citation 13b,Date FR 13b,Action 13b,Citation 13c,Date FR 13c,Action 13c,Limitations 13
" 472-61-7"," Astaxanthin",,," Permanently listed, exempt from certification"," Foods",," Salmonid feed, NTE 80 mg/kg."," none",," &diams; 3,3'-DIHYDROXY-BETA,BETA-CAROTENE-4,4'-DIONE, (3S,3'S)-<br />&diams; 3,3'-DIHYDROXY-&beta;,&beta;-CAROTENE-4,4'-DIONE, (3S,3'S)- <br />&diams;  ASTAXANTHIN, (3S,3'S)- <br />&diams; ASTAXANTHIN, ALL-TRANS-, (3S,3'S)- <br />&diams; BETA,BETA-CAROTENE-4,4'-DIONE, 3,3'-DIHYDROXY-, (3S,3'S)- <br />&diams; &beta;,&beta;-CAROTENE-4,4'-DIONE, 3,3'-DIHYDROXY-, (3S,3'S)-",=T("73.35"),,,,,,,,,,,,,,,,,,," 52 FR 45867",12/02/1987,," Notice of Filing"," 60 FR 18736",04/13/1995," Final Rule"," 60 FR 41805",08/14/1995," Final Rule; objection and request for a hearing; staying portions of the regulation; confirmation of effective date"," 60 FR 55446",11/01/1995," Final rule; response to objection and denial of the request for a hearing; removal of stay for certain provisions",,,," In the feed of salmonid to enhance color of flesh not to exceed 80 mg/kg of finished product.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 578006-46-9"," Astaxanthin Dimethyldisuccinate",,," Permanently listed, exempt from certification"," Foods",," Salmonid feed, NTE 110 mg/kg, equivalent to 80 mg/kg astaxanthin."," none",," &diams; 3,3'-bis(4-methoxy-1,4-dioxybutoxy)-beta,beta-carotene-4,4'-dione,  (3R,3'R)-(+-)-<br />&diams; beta,beta-carotene-4,4'-dione, 3,3'-bis(4-methoxy-1,4-dioxybutoxy)-, (3R,3'R)-(+-)-<br />&diams; 3,3'-bis(4-methoxy-1,4-dioxybutoxy)-&beta;,&beta;-carotene-4,4'-dione,  (3R,3'R)-(+-)-",=T("73.37"),,,,,,,,,,,,,,,,,,," 72 FR 68166",12/04/2007,," Notice of Filing"," 72 FR 73028",12/26/2007," Correction"," 74 FR 57248",11/05/2009," Final Rule"," 75 FR 5887",02/05/2010," Final Rule; confirmation of effective date",,,," In the feed of salmonid to enhance color of flesh not to exceed 110 mg/kg which is equivalent to 80 mg/kg astaxanthin of finished product.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 7727-43-7"," Barium Sulfate",,," Delisted, formerly exempt from certification"," None"," formerly Cosmetics",," none",," &diams; BLANC FIXE<br />&diams; C.I. 77120<br />&diams; C.I. PIGMENT WHITE 21<br />&diams; PIGMENT WHITE 21<br />&diams; SULFURIC ACID, BARIUM SALT (1:1)",,,,,,,=T("175.105"),=T("175.300"),=T("177.2600"),=T("178.3297"),,,,,,,,,," 25 FR 9759",10/12/1960,," Provisional Regulation"," 40 FR 15087",04/04/1975," Delisting"," 40 FR 15087",04/04/1975," Last use date",,,,,,," Provisional cosmetics. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 977010-48-2"," Beet Powder and Dehydrated Beets",," E162"," Permanently listed, exempt from certification"," Foods",," Foods generally."," none",,,=T("73.40"),,,,,,,,,,,,,,,,,,," 26 FR 7578",08/16/1961,," Provisional Regulation",,,,,,,,,,,,," Provisional food use."," 32 FR 2897",02/15/1967," Notice of Proposal to List"," 32 FR 6186",04/20/1967," Final Rule"," 32 FR 8586",06/15/1967," Final Rule; confirmation of effective date",,,,,,," Foods generally GMP."," 32 FR 8586",06/15/1967," Delisting",,,,,,,,,," Removed from provisional listing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1302-78-9"," Bentonite",,," Delisted, formerly exempt from certification"," None"," formerly Cosmetics",," none",,,,,,,,,=T("175.105"),=T("175.300"),=T("178.3297"),=T("184.1155"),,,,,,,,,," 25 FR 9759",10/12/1960,," Provisional Regulation"," 41 FR 41855",09/23/1976," Delisting"," 41 FR 41855`",09/23/1976," Last use date: Oct 26, 1976",,,,,,," Provisional cosmetic use. No interest."," 38 FR 21200",08/06/1973," Notice of filing."," 41 FR 41855",09/23/1976," Withdrawal. No interest.",,,,,,,,,," Externally applied cosmetics. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1107-26-2"," &beta;-apo-8'-carotenal",," E160e"," Permanently listed, exempt from certification"," Foods",," Foods generally, NTE 15 mg/lb solid, 15 mg/pt liquid.",,=T("7")," &diams; 8'-APO-BETA-CAROTENAL<br />&diams; 8'-APO-BETA,PSI-CAROTENAL <br />&diams; 8'-APO-BETA-CAROTEN-8'-AL <br />&diams; 8'-APO-BETA-CAROTENAL, ALL-TRANS- <br />&diams; APO-8'-CAROTENAL, BETA- <br />&diams; BETA-APO-8'-CAROTENAL <br />&diams; BETA-APO-8'-CAROTENAL (C30) <br />&diams; C.I. 40820 <br />&diams; C.I. FOOD ORANGE 6",=T("73.90"),,,,,,,,,,,,,,,,,,," 28 FR 3382",04/06/1963,," Final Rule"," 28 FR 7775",07/31/1963," Final Rule; stay of effective date"," 28 FR 11504",10/29/1963," Final Rule; revocation of stay; setting of effective date",,,,,,," Foods generally limited 15 mg/lb. or 15 mg/pint of food.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 7235-40-7"," &beta;-carotene (Natural and Synthetic)",," E160a"," Permanently listed, exempt from certification"," Foods, Drugs, Cosmetics",," Foods generally. Ingested drugs generally.  Externally applied drugs including eye area use. Cosmetics generally including eye area use.",," 5, 6",,=T("73.95"),=T("73.1095"),=T("73.2095"),,,,=T("101.9"),=T("166.110"),=T("184.110"),,,,,,,,,,," 25 FR 9759",10/12/1960,," Provisional Regulation",,,,,,,,,,,,," Provisional food and drug use."," 26 FR 7578",08/16/1961," Provisional Regulation",,,,,,,,,,,,," Provisional cosmetic use."," 28 FR 13488",12/13/1963," Final Rule"," 29 FR 1615",01/31/1964," Final Rule; confirmation of effective date",,,,,,," Foods generally GMP."," 29 FR 3003",03/05/1964," Final Rule"," 29 FR 5393",04/22/1964," Final Rule; confirmation of effective date",,,,,,,,,,,,," Ingested drugs generally GMP."," 42 FR 33722",07/01/1977," Final Rule"," 42 FR 43620",08/30/1977," Final Rule; confirmation of effective date",,,,,,,,,,,,," External drugs and cosmetics including area of the eye.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 6737-68-4"," 1,4-bis[(2-methylphenyl)amino]-9,10-anthracenedione",,," Permanently listed, exempt from certification"," Devices",," Contact lenses.",,=T("3")," &diams; D&C GREEN NO. 6",=T("73.3105"),=T("74.2206"),=T("74.3206"),,,,,,,,,,,,,,,,," 48 FR 48714",10/20/1983,," Notice of Filing"," 49 FR 30065",07/26/1984," Final Rule"," 49 FR 42922",10/25/1984," Final Rule; confirmation of effective date",,,,,,," To color contact lenses in amounts not to exceed the minimum required to accomplish the coloring effect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 813-93-4"," Bismuth Citrate",,," Permanently listed, exempt from certification"," Cosmetics",," Cosmetics intended for coloring hair on the scalp only NTE 0.5%. Cosmetics intended for color hair on the scalp only NTE 2.0%."," none",," &diams; 1,2,3-PROPANETRICARBOXYLIC ACID, 2-HYDROXY-, BISMUTH(3+) SALT (1:1)<br />&diams; BISMUTH 2-HYDROXY-1,2,3-PROPANETRICARBOXYLATE<br />&diams; BISMUTH, (CITRATO(3-))-",=T("73.2110"),,,,,,,,,,,,,,,,,,," 39 FR 9657",03/13/1974,," Provisional Regulation"," 42 FR 59064",11/15/1977," Delisting"," 42 FR 59064",11/15/1977," Last use date",,,,,,," Provisional hair color component."," 43 FR 14737",04/07/1978," Notice of Filing"," 43 FR 44831",09/29/1978," Final Rule"," 44 FR 7128",02/06/1979," Final Rule; confirmation of effective date",,,,,,," Cosmetics for coloring scalp hair."," 73 FR 10035",02/25/2008," Notice of Filing"," 75 FR 14491",03/26/2010," Final Rule"," 75 FR 34360",06/17/2010," Final Rule; confirmation of effective date",,,," Increase the permitted use level for coloring hair on the scalp from 0.5% to 2.0%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 7787-59-9"," Bismuth Oxychloride",,," Permanently listed, exempt from certification"," Drugs, Cosmetics",," Externally applied drugs including eye area use. Cosmetics generally including eye area use.",," 5, 6"," &diams; BASIC BISMUTH CHLORIDE<br />&diams; BISMUTH CHLORIDE OXIDE (BIOCL)<br />&diams; BISMUTHINE, CHLOROOXO-<br />&diams; C.I. 77163<br />&diams; C.I. PIGMENT WHITE 14<br />&diams; CHLOROOXOBISMUTHINE<br />&diams; COSMETIC BISMUTH<br />&diams; PEARL WHITE<br />&diams; PIGMENT WHITE 14<br />&diams; SPANISH WHITE",=T("73.1162"),=T("73.2162"),,,,,,,,,,,,,,,,,," 25 FR 9759",10/12/1960,," Provisional Regulation",,,,,,,,,,,,," Provisional cosmetic use."," 42 FR 52394",09/30/1977," Final Rule"," 42 FR 61254",12/02/1977," Final Rule; confirmation of effective date",,,,,,,,,," External drug and cosmetic including eye area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 8021-99-6"," Bone Black"," D&C Black No. 3",," Delisted, formerly exempt from certification"," None"," formerly Drugs, Cosmetics",," none",," &diams; Animal Black<br />&diams; Bone Charcoal<br />&diams; C.I. 77267<br />&diams; C.I. Pigment Black 9<br />&diams; Pigment Black 9",,,,,,,,,,,,,,,,,,,," 26 FR 7578",08/16/1961,," Provisional Regulation",,,,,,,,,,,,," Provisional cosmetic use."," 27 FR 5953",06/23/1962," Provisional Regulation"," 29 FR 17089",12/15/1964," Delisting"," 29 FR 17089",12/15/1964," Last date of permitted use for non-certified color additive",,,,,,," Provisional drug use for coloring gelatin capsules only. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
